Date,Quarter,Close,ATR_14,Qavg_Close,Qstd_Close,Qavg_ATR_14,Prev_Qavg_Close,Prev_Qstd_Close,Total Revenue,Oper Rev,Other Income,Operating Expenses,Operating Profit,Interest,Profit Before Tax,Tax,Net Profit,Basic EPS,Net profit TTM,Basic EPS TTM
2021-03-31,2021Q1,1031.1500244140625,51.44999476841517,722.9278714539574,186.09581140873323,32.58829560827036,385.0357138013083,61.51454357088404,4752.7,4711.7,41.0,4273.3,438.4,130.5,185.4,58.6,126.8,1.2,368.8,3.4
2021-06-30,2021Q2,1507.550048828125,103.22855922154018,1338.619670930456,168.54764871153856,73.19016160451277,722.9278714539574,186.09581140873323,5092.9,4989.5,103.4,4546.1,443.5,114.8,402.1,145.3,256.8,2.3,706.9,6.4
2021-09-30,2021Q3,1468.0999755859375,54.67143031529018,1460.676982576885,56.75553408124311,52.24273861562855,1338.619670930456,168.54764871153856,5096.1,4966.7,129.4,4515.6,451.2,131.3,418.8,145.1,273.7,2.5,774.5,7.0
2021-12-31,2021Q4,1709.449951171875,46.0,1628.474601624504,94.75682173398668,61.315762543624224,1460.676982576885,56.75553408124311,8174.6,8059.9,114.7,8049.1,10.8,144.6,-49.9,-13.5,-36.5,-0.3,620.9,5.6
2022-03-31,2022Q1,2014.75,54.60000174386159,1754.16802878458,94.9336506455619,59.10714028423229,1628.474601624504,94.75682173398668,8963.9,8807.9,156.0,8407.5,400.4,180.7,342.4,115.7,226.7,2.1,720.7,6.6
2022-06-30,2022Q2,2190.89990234375,89.08571079799107,2178.4000047253026,81.36288305289118,80.37896292550222,1754.16802878458,94.9336506455619,20541.6,20318.5,223.2,19756.8,561.7,151.2,601.4,158.5,442.9,4.0,906.9,8.0
2022-09-30,2022Q3,3455.75,155.4642333984375,2975.39841812376,498.85262219911175,86.92384750124008,2178.4000047253026,81.36288305289118,22437.5,22136.7,300.8,21607.7,528.9,161.5,635.0,165.8,469.2,4.1,1102.4,9.7
2022-12-30,2022Q4,3858.35009765625,118.85710797991072,3723.1604870211695,323.83258502319967,112.61853505499352,2975.39841812376,498.85262219911175,12515.4,12142.2,373.3,11899.7,242.4,210.5,373.3,103.6,269.7,2.4,1408.6,12.4
2023-03-31,2023Q1,1750.449951171875,109.68571254185264,2345.7790291078627,896.4617312053034,201.25218474919896,3723.1604870211695,323.83258502319967,13097.7,12727.4,370.3,12246.3,481.1,142.0,604.0,163.1,440.9,3.9,1622.7,14.2
2023-06-30,2023Q2,2388.050048828125,94.60714285714286,2142.409167480469,300.6473025299165,92.56278134300597,2345.7790291078627,896.4617312053034,11649.7,11293.1,356.5,10709.2,583.9,117.2,788.9,201.6,587.3,5.2,1767.1,15.5
2023-09-29,2023Q3,2413.89990234375,63.135707310267854,2477.1976182725693,65.1193191048299,72.73428559249221,2142.409167480469,300.6473025299165,9900.1,9313.0,587.1,8713.6,599.4,146.0,1005.2,243.4,761.8,6.7,2059.7,18.1
2023-12-29,2023Q4,2848.949951171875,86.13213239397321,2487.4575073242186,273.7859628486024,84.59622366768973,2477.1976182725693,65.1193191048299,11624.0,11246.9,377.1,10456.1,790.8,167.9,964.5,246.1,718.5,6.3,2508.4,22.0
