Date,Quarter,Close,ATR_14,Qavg_Close,Qstd_Close,Qavg_ATR_14,Prev_Qavg_Close,Prev_Qstd_Close,Total Revenue,Oper Rev,Other Income,Operating Expenses,Operating Profit,Interest,Profit Before Tax,Tax,Net Profit,Basic EPS,Net profit TTM,Basic EPS TTM
2021-03-31,2021Q1,2902.64990234375,100.03212193080356,2806.0057433081456,215.38813008431035,98.84052357014784,2262.33493187314,130.06739349231444,2420.8,2410.1,10.7,2074.2,335.8,68.3,168.9,53.4,115.5,8.1,105.2,7.3
2021-06-30,2021Q2,3619.85009765625,96.15354701450892,3227.1327804815573,135.50598418063433,90.44430363317842,2806.0057433081456,215.38813008431035,3003.5,2994.7,8.7,2604.1,390.6,63.8,232.8,82.8,150.0,10.4,404.3,28.1
2021-09-30,2021Q3,4481.60009765625,174.48573521205358,4359.27140687004,473.7082781262029,129.490027602838,3227.1327804815573,135.50598418063433,2831.5,2823.2,8.3,2384.3,438.9,64.4,289.0,103.1,185.9,12.9,557.7,38.8
2021-12-31,2021Q4,5013.39990234375,149.31072126116072,4832.328551277282,503.168749704064,184.82813773295777,4359.27140687004,473.7082781262029,2858.0,2846.2,11.8,2421.8,424.4,62.1,276.7,101.3,175.4,12.2,626.9,43.6
2022-03-31,2022Q1,4516.10009765625,162.66071428571428,4695.211457799693,194.560958352776,172.44776019558697,4832.328551277282,503.168749704064,1439.4,1420.7,18.7,1088.7,332.1,57.6,188.4,39.7,153.7,10.7,665.0,46.3
2022-06-30,2022Q2,3683.5,123.26789202008928,4016.649197486139,433.2999367816694,144.6204628658734,4695.211457799693,194.560958352776,1540.2,1529.7,10.5,1141.4,388.3,59.6,250.1,-83.0,333.1,23.2,848.1,59.0
2022-09-30,2022Q3,4383.39990234375,148.81065150669642,4224.341262090774,212.3736592041521,111.43820667915604,4016.649197486139,433.2999367816694,1758.5,1715.6,42.9,1262.5,453.1,58.4,345.6,66.4,279.2,19.4,941.4,65.5
2022-12-30,2022Q4,4477.60009765625,102.35721261160714,4530.725003150202,171.50620210389025,118.32368715347782,4224.341262090774,212.3736592041521,1694.1,1638.7,55.3,1221.9,416.9,60.2,323.1,77.5,245.6,17.1,1011.6,70.4
2023-03-31,2023Q1,4310.89990234375,94.97858537946428,4366.329014931956,91.86154952377152,102.8669945501512,4530.725003150202,171.50620210389025,1683.6,1640.8,42.8,1217.6,423.2,60.6,308.7,81.8,226.9,15.8,1084.8,75.4
2023-06-30,2023Q2,5098.2001953125,100.88577706473214,4667.330826822917,301.41430532569024,101.0428949265253,4366.329014931956,91.86154952377152,1706.2,1688.4,17.8,1270.7,417.7,60.9,281.5,67.4,214.1,14.9,965.7,67.2
2023-09-29,2023Q3,5137.75,110.78567940848214,5044.869039868551,129.01078874788945,105.03824316184809,4667.330826822917,301.41430532569024,1931.1,1866.5,64.6,1387.4,479.1,59.6,390.7,95.9,294.8,20.5,981.4,68.2
2023-12-29,2023Q4,5704.10009765625,125.80357142857144,5273.881681315104,275.68067211134513,110.92086704799108,5044.869039868551,129.01078874788945,1875.8,1824.3,51.5,1374.0,450.3,60.6,344.0,81.2,262.8,18.3,998.6,69.4
