Date,Quarter,Close,ATR_14,Qavg_Close,Qstd_Close,Qavg_ATR_14,Prev_Qavg_Close,Prev_Qstd_Close,Total Revenue,Oper Rev,Other Income,Operating Expenses,Operating Profit,Interest,Profit Before Tax,Tax,Net Profit,Basic EPS,Net profit TTM,Basic EPS TTM
2021-06-30,2021Q2,2992.699951171875,60.87501743861607,2779.4270379738728,194.00942475428255,65.49262003485435,2505.290171138576,144.89638635192443,4891.4,4785.9,105.5,3904.0,882.0,16.4,794.7,198.8,595.9,6.2,3396.5,35.4
2021-09-30,2021Q3,3244.64990234375,67.34284319196429,3127.825408451141,156.5163570588268,58.31660665568311,2779.4270379738728,194.00942475428255,6304.4,6151.9,152.5,5276.9,874.9,18.1,829.5,210.9,618.6,6.5,3222.0,33.6
2021-12-31,2021Q4,3382.949951171875,57.51072474888393,3192.8976236979165,104.01562731202254,78.61389298557965,3127.825408451141,156.5163570588268,7595.9,7491.1,104.7,6023.0,1468.2,21.5,1367.4,347.2,1020.3,10.6,3054.4,31.8
2022-03-31,2022Q1,3079.949951171875,74.99285016741071,3176.414742891906,202.7308790007897,91.42574237046252,3192.8976236979165,104.01562731202254,6848.7,6759.6,89.1,5396.9,1362.7,14.3,1202.5,302.6,900.0,9.4,3134.7,32.7
2022-06-30,2022Q2,2695.199951171875,76.49998256138393,2950.9846624558973,195.5381066229885,83.22562503375217,3176.414742891906,202.7308790007897,7700.1,7586.2,113.8,6123.7,1462.6,19.9,1372.4,355.1,1017.3,10.6,3556.1,37.1
2022-09-30,2022Q3,3342.449951171875,101.76783970424108,3274.304757254464,224.52490628193223,71.7967631714144,2950.9846624558973,195.5381066229885,7461.5,7344.3,117.1,6228.8,1115.6,23.5,1020.2,256.9,763.3,8.0,3700.8,38.6
2022-12-30,2022Q4,3087.89990234375,55.13926478794643,3144.410463394657,76.95787584408133,65.27461151263681,3274.304757254464,224.52490628193223,7683.9,7521.8,162.1,6027.1,1494.8,24.7,1443.0,357.1,1085.9,11.3,3766.4,39.3
2023-03-31,2023Q1,2761.64990234375,58.635689871651785,2833.280639648437,83.04710759933563,54.39526198426699,3144.410463394657,76.95787584408133,7751.0,7626.0,125.0,5878.4,1747.6,24.9,1654.0,420.3,1233.7,12.9,4100.2,42.7
2023-06-30,2023Q2,3362.050048828125,53.73216029575893,3078.6633463541666,182.7231885772582,50.00521879650297,2833.280639648437,83.04710759933563,8330.7,8114.0,216.8,6114.2,1999.8,26.3,2018.2,509.8,1508.4,15.8,4591.3,47.9
2023-09-29,2023Q3,3161.050048828125,59.899989536830354,3306.5373031374006,99.79584913758808,53.12483031949759,3078.6633463541666,182.7231885772582,7514.5,7342.2,172.3,5757.5,1584.7,27.5,1550.6,390.4,1160.3,12.1,4988.2,52.0
2023-12-29,2023Q4,3402.39990234375,55.149989536830354,3160.0900065104165,116.80999026926736,51.11128336588542,3306.5373031374006,99.79584913758808,8151.1,7913.0,238.1,6015.9,1897.1,31.0,1914.2,470.7,1443.5,15.1,5345.9,55.7
