Date,Quarter,Close,ATR_14,Qavg_Close,Qstd_Close,Qavg_ATR_14,Prev_Qavg_Close,Prev_Qstd_Close,Total Revenue,Oper Rev,Other Income,Operating Expenses,Operating Profit,Profit Before Tax,Tax,Net Profit,Basic EPS,Net profit TTM,Basic EPS TTM
2021-06-30,2021Q2,1210.905029296875,26.844621930803573,1112.3278758564934,95.08768673089372,31.735485210910063,953.8952476626536,54.792268568861694,40.8,22.9,17.9,39.1,-16.2,0.5,0.2,0.4,0.0,178.1,11.2
2021-09-30,2021Q3,1778.675048828125,54.797154017857125,1503.458492218502,193.26364527865096,39.09875183797477,1112.3278758564934,95.08768673089372,367.4,349.1,18.3,49.2,299.9,317.0,78.5,238.5,15.0,416.0,26.1
2021-12-31,2021Q4,1640.6199951171875,44.787867954799104,1745.8235696459574,82.19608182630141,56.51724070161918,1503.458492218502,193.26364527865096,271.6,222.0,49.6,45.4,176.7,225.2,56.7,168.5,10.6,576.1,36.2
2022-03-31,2022Q1,1706.0450439453125,41.042855398995535,1639.2522112736935,95.41715293823997,55.739877312188966,1745.8235696459574,82.19608182630141,49.2,29.8,19.3,27.9,1.9,20.5,3.6,16.9,1.1,424.2,26.7
2022-06-30,2022Q2,1093.175048828125,39.744986397879465,1354.962748865927,184.6223847270624,43.898680796821,1639.2522112736935,95.41715293823997,356.8,341.2,15.6,43.9,297.3,312.2,79.1,233.1,14.6,656.9,41.3
2022-09-30,2022Q3,1678.3499755859375,63.492483956473215,1523.8076966300844,220.03527527985705,47.04507453209148,1354.962748865927,184.6223847270624,689.4,671.3,18.1,46.1,625.2,642.5,157.5,485.1,3.0,903.5,5.7
2022-12-30,2022Q4,1547.8499755859375,38.54642159598215,1651.481451219128,64.11995925349395,39.33600247290827,1523.8076966300844,220.03527527985705,49.8,32.8,17.0,42.9,-10.1,6.1,1.2,4.9,0.0,739.9,4.6
2023-03-31,2023Q1,1266.5,36.96783447265625,1354.2750047253023,71.28511596195703,36.28127179827009,1651.481451219128,64.11995925349395,51.5,31.1,20.5,36.9,-5.8,13.8,4.3,9.5,0.1,732.5,4.6
2023-06-30,2023Q2,1528.0,25.942862374441965,1416.300830078125,72.04222050030177,25.922664823986235,1354.2750047253023,71.28511596195703,603.3,595.2,8.1,53.8,541.4,548.7,145.2,403.5,2.5,903.0,5.7
2023-09-29,2023Q3,1540.25,30.207127162388392,1549.8277742900543,54.86181988201283,30.54188769420529,1416.300830078125,72.04222050030177,1019.1,1011.1,8.0,51.6,959.5,966.6,212.3,754.3,4.7,1172.2,7.4
2023-12-29,2023Q4,1685.800048828125,31.642865862165177,1633.9766764322917,53.78333045113969,33.152610996791296,1549.8277742900543,54.86181988201283,57.3,49.4,7.9,49.0,0.4,7.4,3.0,4.4,0.0,1171.7,7.4
