Date,Quarter,Close,ATR_14,Qavg_Close,Qstd_Close,Qavg_ATR_14,Prev_Qavg_Close,Prev_Qstd_Close,Total Revenue,Oper Rev,Other Income,Operating Expenses,Operating Profit,Interest,Profit Before Tax,Tax,Net Profit,Basic EPS,Net profit TTM,Basic EPS TTM
2021-06-30,2021Q2,971.9000244140624,17.139286586216517,922.9204942046618,39.70822794390048,22.77582094429248,817.0131165551358,25.319842788171023,4097.1,4017.4,79.7,2871.9,1145.5,8.0,1080.2,288.4,791.8,9.8,2649.8,32.9
2021-09-30,2021Q3,983.5499877929688,19.353572300502236,941.63571312314,27.685280546623822,18.96059993821748,922.9204942046618,39.70822794390048,4132.8,3935.0,197.7,2952.2,982.8,7.6,1034.0,251.6,782.4,9.7,2686.5,33.3
2021-12-31,2021Q4,944.0999755859376,19.592856270926347,913.1579376705108,22.96741345969143,22.26859745362988,941.63571312314,27.685280546623822,4027.8,3954.8,73.0,2914.8,1040.0,5.6,973.5,242.7,730.8,9.1,2718.4,33.7
2022-03-31,2022Q1,1018.0499877929688,31.39644949776784,953.2459016393444,51.36884727726394,22.823660142527796,913.1579376705108,22.96741345969143,3262.9,2946.6,316.3,2559.0,387.7,5.8,581.4,105.1,653.0,8.1,2957.9,36.7
2022-06-30,2022Q2,917.2000122070312,27.282152448381662,968.5016105405746,32.94474798876859,24.78473877796929,953.2459016393444,51.36884727726394,3274.8,3157.1,117.7,2299.8,857.4,2.2,865.4,221.4,759.2,8.0,2925.3,36.3
2022-09-30,2022Q3,1114.949951171875,31.22140938895089,1015.6007942320808,48.93651580324714,23.065187138494714,968.5016105405746,32.94474798876859,4243.6,4151.3,92.3,3090.2,1061.1,7.5,969.8,264.6,720.3,8.7,2863.3,35.5
2022-12-30,2022Q4,1075.949951171875,23.967869349888392,1119.688712827621,21.83595963101525,23.06895228794643,1015.6007942320808,48.93651580324714,4026.6,3899.5,127.1,2961.3,938.1,6.9,928.4,249.9,678.5,8.4,2810.9,34.8
2023-03-31,2023Q1,900.5,14.542864118303571,980.8556459488408,80.79453974575252,21.12505231584821,1119.688712827621,21.83595963101525,4013.5,3893.7,119.7,3094.0,799.8,10.5,561.6,206.1,355.5,4.4,2513.5,31.1
2023-06-30,2023Q2,1014.9500122070312,18.24643380301336,945.9350026448568,37.06570744481864,15.810778953915536,980.8556459488408,80.79453974575252,4476.2,4318.2,158.0,3113.5,1204.7,0.3,1226.4,331.4,895.0,11.1,2649.3,32.8
2023-09-29,2023Q3,1186.1500244140625,24.75354875837053,1166.7095298161582,90.78215656743396,25.81558940307894,945.9350026448568,37.06570744481864,4869.8,4664.7,205.1,3285.6,1379.1,7.8,1396.6,366.9,1029.7,12.8,2958.7,36.6
2023-12-29,2023Q4,1246.300048828125,21.88929094587053,1207.4983357747396,30.730484600919887,24.01713416689918,1166.7095298161582,90.78215656743396,4550.3,4381.3,169.0,3025.5,1355.9,9.1,1380.8,363.0,1114.1,13.8,3394.3,42.0
