Date,Quarter,Close,ATR_14,Qavg_Close,Qstd_Close,Qavg_ATR_14,Prev_Qavg_Close,Prev_Qstd_Close,Total Revenue,Oper Rev,Other Income,Operating Expenses,Operating Profit,Interest,Profit Before Tax,Tax,Net Profit,Basic EPS,Net profit TTM,Basic EPS TTM
2021-06-30,2021Q2,1497.9000244140625,22.057137625558035,1457.5352463018698,41.634824333787634,34.405493421353555,1514.038526191086,63.83869992585979,36771.5,30483.0,6288.5,8160.4,15137.0,13474.0,10306.2,2576.6,7729.6,14.0,32187.6,58.2
2021-09-30,2021Q3,1594.949951171875,30.35715157645089,1522.1634889632935,53.23982206577719,25.524658341526717,1457.5352463018698,41.634824333787634,38754.2,31353.4,7400.8,9277.9,15807.3,13669.0,11882.6,3048.3,8834.3,16.0,33508.8,60.5
2021-12-31,2021Q4,1479.4000244140625,25.996433803013392,1552.6666744171628,71.92573735701461,30.310768594547195,1522.1634889632935,53.23982206577719,40651.6,32468.1,8183.6,9851.1,16776.0,14024.6,13782.0,3439.8,10342.2,18.7,35092.7,63.3
2022-03-31,2022Q1,1470.3499755859375,35.77142333984375,1479.3827904873208,58.00596443819134,37.63710854595104,1552.6666744171628,71.92573735701461,41085.8,33448.7,7637.1,10152.8,16357.0,14576.0,13044.7,2989.5,10055.2,18.1,36961.3,66.7
2022-06-30,2022Q2,1348.0,26.28213936941964,1373.5298363470265,76.47270719472384,35.77417765674503,1479.3827904873208,58.00596443819134,41560.3,35172.0,6388.2,10501.8,15367.8,15690.6,12180.1,2984.1,9196.0,16.6,38427.7,69.2
2022-09-30,2022Q3,1421.3499755859375,33.64283970424107,1440.968259781126,55.15506712719784,24.25112312991603,1373.5298363470265,76.47270719472384,46182.0,38586.4,7595.6,11224.6,17392.2,17565.2,14152.0,3546.3,10605.8,19.1,40199.2,72.2
2022-12-30,2022Q4,1628.1500244140625,26.864292689732142,1552.8709756174396,85.34316216580334,26.504900391750077,1440.968259781126,55.15506712719784,51207.6,42707.8,8499.8,12463.6,19024.1,19719.9,16217.6,3958.1,12259.5,22.0,42116.4,75.5
2023-03-31,2023Q1,1609.550048828125,27.64642333984375,1613.5887155840471,36.12049719859117,29.5804200062554,1552.8709756174396,85.34316216580334,53850.5,45119.4,8731.2,13462.1,18620.9,21767.5,15935.5,3888.1,12047.5,21.6,44108.7,79.1
2023-06-30,2023Q2,1701.4000244140625,23.45001220703125,1644.1833374023438,32.3666840526447,23.615716843377974,1613.5887155840471,36.12049719859117,57816.7,48586.8,9229.9,14056.9,18772.0,24987.7,15912.0,3960.2,11951.8,21.4,46864.5,83.8
2023-09-29,2023Q3,1526.300048828125,25.610700334821427,1622.776190863715,50.69761730732515,24.441782010655825,1644.1833374023438,32.3666840526447,78406.2,67698.4,10707.8,15399.2,22693.9,40313.2,19790.1,3813.9,15976.1,21.1,52234.8,68.9
2023-12-29,2023Q4,1709.25,21.928562709263392,1557.884169514974,73.24148469809059,21.77035042898996,1622.776190863715,50.69761730732515,81719.7,70582.6,11137.0,15961.1,23647.3,42111.3,19430.7,3058.1,16372.5,21.6,56347.9,74.2
