Date,Quarter,Close,ATR_14,Qavg_Close,Qstd_Close,Qavg_ATR_14,Prev_Qavg_Close,Prev_Qstd_Close,Total Revenue,Oper Rev,Other Income,Operating Expenses,Operating Profit,Interest,Profit Before Tax,Tax,Net Profit,Basic EPS,Net profit TTM,Basic EPS TTM
2021-06-30,2021Q2,630.9000244140625,12.87141636439732,615.3590147925205,31.390934594234725,16.851934499986278,589.8713068727587,40.61041537403883,24379.3,20383.4,3995.9,6037.2,8894.4,9447.7,6042.7,1426.7,4616.0,6.7,18209.6,26.3
2021-09-30,2021Q3,700.8499755859375,14.98930140904018,691.3769880022321,26.91797514093481,13.075911610575218,615.3590147925205,31.390934594234725,26030.8,21233.6,4797.2,6572.2,9914.7,9543.9,7201.2,1690.3,5511.0,8.0,19469.2,28.1
2021-12-31,2021Q4,740.1500244140625,15.650002615792411,747.9468267531622,34.72543082859901,18.691160448554424,691.3769880022321,26.91797514093481,27069.7,22082.6,4987.1,7074.9,10148.3,9846.6,8141.0,1947.1,6193.8,8.9,20723.4,29.8
2022-03-31,2022Q1,730.2999877929688,16.075007847377233,756.8008182713243,49.19668435263701,20.286298336413203,747.9468267531622,34.72543082859901,27412.3,22674.9,4737.4,7049.0,10292.9,10070.3,9224.0,2205.3,7018.7,10.1,23339.5,33.6
2022-06-30,2022Q2,707.2000122070312,16.896427699497767,725.1314461000504,25.86198724236856,16.712618638842883,756.8008182713243,49.19668435263701,28336.7,23671.5,4665.2,7566.3,10308.9,10461.5,9165.1,2260.1,6904.9,9.9,25628.4,36.8
2022-09-30,2022Q3,862.0,20.189287458147323,837.7928583054315,58.45863014404001,15.850910351119612,725.1314461000504,25.86198724236856,31087.9,26033.0,5054.9,8161.4,11680.3,11246.2,10035.8,2478.0,7557.8,10.9,27675.3,39.7
2022-12-30,2022Q4,890.8499755859375,17.23214285714289,907.7250021657636,22.49949778891023,16.617166475216912,837.7928583054315,58.45863014404001,33529.3,28505.6,5023.6,8217.4,13271.2,12040.7,11013.8,2701.9,8311.9,11.9,29793.3,42.7
2023-03-31,2023Q1,877.25,17.50714111328125,857.2524217174899,17.532791361791265,17.6759274390436,907.7250021657636,22.49949778891023,36108.9,31021.1,5087.8,8928.2,13826.4,13354.3,12206.6,3084.7,9121.9,13.1,31896.5,45.7
2023-06-30,2023Q2,934.5999755859376,12.557150704520057,925.654168701172,22.13327804238902,13.664227149600066,857.2524217174899,17.532791361791265,38762.9,33327.6,5435.3,9522.6,14139.1,15101.2,12846.7,3198.5,9648.2,13.8,34639.8,49.5
2023-09-29,2023Q3,951.9000244140624,14.53929356166292,968.2380991133432,16.995015214457695,14.264462979202069,925.654168701172,22.13327804238902,40697.1,34920.4,5776.7,9855.3,14229.3,16612.5,13646.6,3385.6,10261.0,14.7,37342.9,53.3
2023-12-29,2023Q4,996.5999755859376,15.946432931082564,958.059999593099,37.32398776295587,14.449639529273636,968.2380991133432,16.995015214457695,42791.6,36694.6,6097.1,10052.0,14723.6,18016.0,13674.3,3402.7,10271.5,14.7,39302.6,56.0
